price,mileage
3000,75000
32899,63059
24640,92022
16995,98011
28998,44884
14993,92729
30607,60481
41895,27826
30499,66208
18500,113718
36660,31849
38000,50902
22500,66000
32998,24341
31221,70554
32999,51149
35892,30747
34826,33585
21998,96199
46490,1304
38950,8200
39999,6838
45491,6111
46495,1412
47999,5865
45199,9981
45688,7877
42635,7877
49000,3806
46500,5499
49995,3651
49189,1750
48994,5808
52910,4730
39422,17802
34930,16091
37988,15817
43301,19158
42000,19722
42399,19260
43995,17657
37892,17048
29000,19006
38106,19487
47000,15300
39682,15386
38997,12082
39981,19895
44971,12182
44500,19240
44998,19186
35998,18965
45250,15354
42807,16699
44499,11291
41500,16369
38500,10212
39995,15984
44537,11197
45995,11739
40990,17673
34888,27138
37895,23107
36899,25669
42811,28771
36995,23040
42885,27649
31498,29575
38000,27979
39791,24480
37598,28754
38971,21741
38977,25583
37000,25980
39495,23390
36995,20200
39457,21568
26000,28788
34995,28588
41500,23916
38500,23675
35995,28537
31995,33552
29499,38892
32995,35556
37909,33614
34939,30633
37593,37342
32995,49965
33999,47709
35985,46209
24000,46143
30528,46903
30410,48674
29488,54815
29995,51196
33499,52972
29501,57569
28995,54486
31872,53319
29750,56686
25998,56175
22990,63199
30999,66544
28068,64600
29997,61414
31638,61502
31500,63341
27900,70588
13995,77240
23498,71693
20700,72754
27986,73689
24177,74943
22999,78918
19995,85605
18847,92187
20750,87250
19806,91147
16000,96362
19150,99608
16999,107297
19580,106220
20890,107412
16813,114753
18500,113718
19998,117866
22865,123891
18795,132612
13850,135245
18888,126302
14636,138887
13995,136808
5990,152570
14998,142474
10990,152347
11999,158205
12000,159724
12690,158750
13999,144943
14999,147530
11500,169277
9999,170231
11900,163730
12995,160508
11999,171987
10899,179039
10700,172751
7791,166901
10386,187736
5995,192592
9999,183121
6995,227699
9000,217317
